IdPunto	Latitud	Longitud	Descripcion
65	-17,773591	-63,192213	P 65   
66	-17,796925	-63,215907	P 66   
67	-17,800904	-63,161072	P 67   
68	-17,800521	-63,160633	P 68   
69	-17,800683	-63,161088	P 69   
70	-17,800864	-63,160725	P 70   
71	-17,800944	-63,160835	P 71   
72	-17,804548	-63,165127	P 72   
73	-17,804746	-63,165454	P 73   
74	-17,803821	-63,165711	P 74   
75	-17,803299	-63,16605	P 75   
76	-17,802772	-63,166379	P 76   
77	-17,800351	-63,167956	P 77   
78	-17,799873	-63,168238	P 78   
79	-17,802286	-63,166704	P 79   
80	-17,801768	-63,167033	P 80   
81	-17,78721	-63,161987	P 81   
82	-17,794469	-63,162333	P 82   
83	-17,785362	-63,171374	P 83   
84	-17,813072	-63,189193	P 84   
85	-17,795477	-63,207774	P 85   
86	-17,795769	-63,209076	P 86   
87	-17,795616	-63,208418	P 87   
88	-17,796981	-63,214448	P 88   
89	-17,796829	-63,213791	P 89   
90	-17,796365	-63,211726	P 90   
91	-17,796214	-63,21106	P 91   
92	-17,796066	-63,210423	P 92   
93	-17,796677	-63,213136	P 93   
94	-17,796763	-63,213488	P 94   
95	-17,797111	-63,21501	P 95   
96	-17,796408	-63,211944	P 96   
97	-17,796527	-63,212441	P 97   
98	-17,797073	-63,21568	P 98   
99	-17,795016	-63,205255	P 99   
100	-17,794595	-63,204577	P 100  
101	-17,794776	-63,205661	P 101  
102	-17,794814	-63,205361	P 102  
103	-17,795301	-63,205569	P 103  
104	-17,798967	-63,170052	P 104  
105	-17,79486	-63,16361	P 105  
106	-17,794883	-63,16404	P 106  
107	-17,794075	-63,162298	P 107  
108	-17,792814	-63,16269	P 108  
109	-17,798234	-63,174741	P 109  
110	-17,774749	-63,176123	P 110  
111	-17,798731	-63,17148	P 111  
112	-17,798438	-63,173222	P 112  
113	-17,821716	-63,177264	P 113  
114	-17,784528	-63,157565	P 114  
115	-17,785638	-63,149267	P 115  
116	-17,785584	-63,150904	P 116  
117	-17,785607	-63,150147	P 117  
118	-17,785555	-63,151671	P 118  
119	-17,772325	-63,179755	P 119  
120	-17,774307	-63,179955	P 120  
121	-17,784913	-63,159266	P 121  
122	-17,822502	-63,177208	P 122  
123	-17,822438	-63,177334	P 123  
124	-17,822238	-63,176665	P 124  
125	-17,789241	-63,189251	P 125  
126	-17,788974	-63,1895	P 126  
127	-17,799646	-63,22061	P 127  
128	-17,785257	-63,147769	P 128  
129	-17,787956	-63,147967	P 129  
130	-17,789192	-63,148093	P 130  
131	-17,787258	-63,147919	P 131  
132	-17,789407	-63,148076	P 132  
133	-17,784868	-63,17087	P 133  
134	-17,77352	-63,180561	P 134  
135	-17,774269	-63,183458	P 135  
136	-17,773835	-63,183078	P 136  
137	-17,775062	-63,172799	P 137  
138	-17,772301	-63,201525	P 138  
139	-17,772392	-63,200812	P 139  
140	-17,773238	-63,194097	P 140  
141	-17,772776	-63,197718	P 141  
142	-17,773059	-63,195504	P 142  
143	-17,773772	-63,170093	P 143  
144	-17,794671	-63,184076	P 144  
145	-17,795232	-63,183992	P 145  
146	-17,794137	-63,184158	P 146  
147	-17,79358	-63,184231	P 147  
148	-17,727143	-63,160697	P 148  
149	-17,727731	-63,15929	P 149  
150	-17,726873	-63,161343	P 150  
151	-17,727666	-63,159445	P 151  
152	-17,743956	-63,148804	P 152  
153	-17,715329	-63,166773	P 153  
154	-17,716388	-63,162162	P 154  
155	-17,715541	-63,165838	P 155  
156	-17,798211	-63,217852	P 156  
157	-17,801568	-63,225981	P 157  
158	-17,800678	-63,224013	P 158  
159	-17,79914	-63,219782	P 159  
160	-17,799627	-63,221126	P 160  
161	-17,798956	-63,219348	P 161  
162	-17,800118	-63,222462	P 162  
163	-17,798518	-63,218479	P 163  
164	-17,800931	-63,224674	P 164  
165	-17,771843	-63,205253	P 165  
166	-17,771607	-63,206879	P 166  
167	-17,771706	-63,206184	P 167  
168	-17,771422	-63,208311	P 168  
